Term (EN),Translation (IT),Part of Speech,Description,Domain
See Invisibility,Vedere Invisibilità,noun,Spell (Divinazione),Spells
Seeming,Sembrare,noun,Spell (Illusione),Spells
Sending,Inviare,noun,Spell (Invocazione),Spells
Sepia Snake Sigil,Sigillo del Serpente,noun,Spell (Evocazione),Spells
Sequester,Celare,noun,Spell (Abiurazione),Spells
Servant Horde,Orda di Servitori,noun,Spell (Evocazione),Spells
Shades,Ombre,noun,Spell (Illusione),Spells
Shadow Conjuration,Ombra di una Evocazione,noun,Spell (Illusione),Spells
"Shadow Conjuration, Greater",Ombra di una Evocazione Superiore,noun,Spell (Illusione),Spells
Shadow Evocation,Ombra di una Invocazione,noun,Spell (Illusione),Spells
"Shadow Evocation, Greater",Ombra di una Invocazione Superiore,noun,Spell (Illusione),Spells
Shadow Form,Forma d'Ombra,noun,Spell (Illusione),Spells
Shadow Guardians,Guardiani d'Ombra,noun,Spell (Trasmutazione),Spells
Shadow Landscape,Paesaggio d'Ombra,noun,Spell (Illusione),Spells
Shadow Walk,Camminare nelle Ombre,noun,Spell (Illusione),Spells
Shambler,Cumulo Strisciante,noun,Spell (Evocazione),Spells
Shapechange,Trasformazione,noun,Spell (Trasmutazione),Spells
Sharptooth,Zanne Aguzze,noun,Spell (Trasmutazione),Spells
Shatter,Frantumare,noun,Spell (Invocazione),Spells
Sheltered Vitality,Vitalità Riparata,noun,Spell (Abiurazione),Spells
Shield,Scudo,noun,Spell (Abiurazione),Spells
Shield of Faith,Scudo della Fede,noun,Spell (Abiurazione),Spells
Shield of Law,Scudo della Legge,noun,Spell (Abiurazione),Spells
Shield of the Archons,Scudo degli Arconti,noun,Spell (Abiurazione),Spells
Shield of Warding,Scudo di Interdizione,noun,Spell (Abiurazione),Spells
Shield Other,Scudo su Altri,noun,Spell (Abiurazione),Spells
Shillelagh,Randello Incantato,noun,Spell (Trasmutazione),Spells
Shocking Grasp,Stretta Folgorante,noun,Spell (Invocazione),Spells
Shout,Grido,noun,Spell (Invocazione),Spells
"Shout, Greater",Grido Superiore,noun,Spell (Invocazione),Spells
Shrink Item,Restringere Oggetto,noun,Spell (Trasmutazione),Spells
Sicken Evil,Malvagi Infermi,noun,Spell (Necromanzia),Spells
Sign of Sealing,Segno del Sigillo,noun,Spell (Abiurazione),Spells
"Sign of Sealing, Greater",Segno del Sigillo Superiore,noun,Spell (Abiurazione),Spells
Silence,Silenzio,noun,Spell (Illusione),Spells
Silent Image,Immagine Silenziosa,noun,Spell (Illusione),Spells
Silvered Claws,Artigli Argentei,noun,Spell (Trasmutazione),Spells
Silvered Weapon,Arma Argentea,noun,Spell (Trasmutazione),Spells
Simulacrum,Simulacro,noun,Spell (Illusione),Spells
Skyline Runner,Corridore Cittadino,noun,Spell (Trasmutazione),Spells
Slay Living,Distruggere Viventi,noun,Spell (Necromanzia),Spells
Sleep,Sonno,noun,Spell (Ammaliamento),Spells
Sleet Storm,Tempesta di Nevischio,noun,Spell (Evocazione),Spells
Slime Wave,Onda di Fanghiglia,noun,Spell (Evocazione),Spells
Slow,Lentezza,noun,Spell (Trasmutazione),Spells
Smite Heretic,Punire gli Eretici,noun,Spell (Evocazione),Spells
Smoke Ladder,Scala di Fumo,noun,Spell (Trasmutazione),Spells
Snake Darts,Dardi Serpentini,noun,Spell (Trasmutazione),Spells
Snare,Calappio,noun,Spell (Trasmutazione),Spells
Sniper's Eye,Occhio del Cecchino,noun,Spell (Trasmutazione),Spells
Sniper's Shot,Tiro del Cecchino,noun,Spell (Divinazione),Spells
Soften Earth and Stone,Ammorbidire Terra e Pietra,noun,Spell (Trasmutazione),Spells
Solid Fog,Nebbia Solida,noun,Spell (Evocazione),Spells
Song of Discord,Canto di Discordia,noun,Spell (Ammaliamento),Spells
Sonic Weapon,Arma Sonora,noun,Spell (Trasmutazione),Spells
Soul Bind,Legare Anima,noun,Spell (Necromanzia),Spells
Soul Link,Legame dell'Anima,noun,Spell (Necromanzia),Spells
Sound Burst,Suono Dirompente,noun,Spell (Invocazione),Spells
Spark of Life,Scintilla di Vita,noun,Spell (Necromanzia),Spells
Spawn Screen,Schermo dalla Progenie,noun,Spell (Necromanzia),Spells
Speak with Animals,Parlare con gli Animali,noun,Spell (Divinazione),Spells
Speak with Dead,Parlare con i Morti,noun,Spell (Necromanzia),Spells
Speak with Plants,Parlare con i Vegetali,noun,Spell (Divinazione),Spells
Spear of Valarian,Lancia di Valarian,noun,Spell (Trasmutazione),Spells
Spectral Hand,Mano Spettrale,noun,Spell (Necromanzia),Spells
Spectral Touch,Tocco Spettrale,noun,Spell (Necromanzia),Spells
Spectral Weapon,Arma Spettrale,noun,Spell (Illusione),Spells
Speechlink,Collegamento Vocale,noun,Spell (Divinazione),Spells
Spell Immunity,Immunità agli Incantesimi,noun,Spell (Abiurazione),Spells
"Spell Immunity, Greater",Immunità agli Incantesimi Superiore,noun,Spell (Abiurazione),Spells
Spell Resistance,Resistenza agli Incantesimi,noun,Spell (Abiurazione),Spells
"Spell Resistance, Mass",Resistenza agli Incantesimi di Massa,noun,Spell (Abiurazione),Spells
Spell Turning,Riflettere Incantesimo,noun,Spell (Abiurazione),Spells
Spell Vulnerability,Vulnerabilità agli Incantesimi,noun,Spell (Trasmutazione),Spells
Spellstaff,Bastone dell'Incantesimo,noun,Spell (Trasmutazione),Spells
Sphere of Ultimate Destruction,Sfera della Distruzione Assoluta,noun,Spell (Evocazione),Spells
Spider Climb,Movimenti del Ragno,noun,Spell (Trasmutazione),Spells
Spike Growth,Crescita di Spine,noun,Spell (Trasmutazione),Spells
Spike Stones,Rocce Aguzze,noun,Spell (Trasmutazione),Spells
Spikes,Spine,noun,Spell (Trasmutazione),Spells
Spirit Binding,Legame Spirituale,noun,Spell (Evocazione),Spells
"Spirit Binding, Greater",Legame Spirituale Superiore,noun,Spell (Evocazione),Spells
"Spirit Binding, Lesser",Legame Spirituale Inferiore,noun,Spell (Evocazione),Spells
Spirit Needle,Ago per Spiriti,noun,Spell (Trasmutazione),Spells
Spirit Self,Forma di Spirito,noun,Spell (Necromanzia),Spells
Spiritual Chariot,Carro Spirituale,noun,Spell (Evocazione),Spells
Spiritual Weapon,Arma Spirituale,noun,Spell (Invocazione),Spells
Spiritwall,Muro Spettrale,noun,Spell (Necromanzia),Spells
Spread of Contentment,Propagazione di Cordialità,noun,Spell (Ammaliamento),Spells
Standing Wave,Onda Eretta,noun,Spell (Trasmutazione),Spells
Starmantle,Mantello Stellare,noun,Spell (Abiurazione),Spells
Stars of Arvandor,Stelle di Arvandor,noun,Spell (Invocazione),Spells
Statue,Statua,noun,Spell (Trasmutazione),Spells
Steam Breath,Soffio di Vapore,noun,Spell (Invocazione),Spells
Stinking Cloud,Nube Maleodorante,noun,Spell (Evocazione),Spells
Stone Fist,Pugno di Pietra,noun,Spell (Trasmutazione),Spells
Stone Shape,Scolpire Pietra,noun,Spell (Trasmutazione),Spells
Stone Tell,Pietre Parlanti,noun,Spell (Divinazione),Spells
Stone to Flesh,Pietra in Carne,noun,Spell (Trasmutazione),Spells
Stoneskin,Pelle di Pietra,noun,Spell (Abiurazione),Spells
Stony Grasp,Stretta di Pietra,noun,Spell (Invocazione Inferiore),Spells
Storm of Elemental Fury,Tempesta di Furia Elementale,noun,Spell (Evocazione),Spells
Storm of Shards,Tempesta di Schegge,noun,Spell (Invocazione),Spells
Storm of Vengeance,Tempesta di Vendetta,noun,Spell (Evocazione),Spells
Storm Tower,Torre della Tempesta,noun,Spell (Abiurazione),Spells
Stormrage,Tempesta Furiosa,noun,Spell (Trasmutazione),Spells
Stunning Breath,Soffio Stordente,noun,Spell (Trasmutazione),Spells
Sublime Revelry,Euforia Sublime,noun,Spell (Abiurazione),Spells
Subvert Planar Essence,Sovvertire Essenza Planare,noun,Spell (Trasmutazione),Spells
Suggestion,Suggestione,noun,Spell (Ammaliamento),Spells
"Suggestion, Mass",Suggestione di Massa,noun,Spell (Ammaliamento),Spells
Summon Babau Demon,Evoca Demone Babau,noun,Spell (Evocazione),Spells
Summon Bearded Devil,Evoca Diavolo Barbuto,noun,Spell (Evocazione),Spells
Summon Bralani Eladrin,Evoca Eladrin Bralani,noun,Spell (Evocazione),Spells
Summon Elemental Monolith,Evoca Monolito Elementale,noun,Spell (Evocazione),Spells
Summon Elementite Swarm,Evoca Sciame di Elementiti,noun,Spell (Evocazione),Spells
Summon Elysian Thrush,Evoca Tordo Elisio,noun,Spell (Evocazione),Spells
Summon Greater Elemental,Evoca Elementale Superiore,noun,Spell (Evocazione),Spells
Summon Hound Archon,Evoca Arcone Segugio,noun,Spell (Evocazione),Spells
Summon Instrument,Evoca Strumento,noun,Spell (Evocazione),Spells
Summon Monster I,Evoca Mostri I,noun,Spell (Evocazione),Spells
Summon Monster II,Evoca Mostri II,noun,Spell (Evocazione),Spells
Summon Monster III,Evoca Mostri III,noun,Spell (Evocazione),Spells
Summon Monster IV,Evoca Mostri IV,noun,Spell (Evocazione),Spells
Summon Monster IX,Evoca Mostri IX,noun,Spell (Evocazione),Spells
Summon Monster V,Evoca Mostri V,noun,Spell (Evocazione),Spells
Summon Monster VI,Evoca Mostri VI,noun,Spell (Evocazione),Spells
Summon Monster VII,Evoca Mostri VII,noun,Spell (Evocazione),Spells
Summon Monster VIII,Evoca Mostri VIII,noun,Spell (Evocazione),Spells
Summon Nature’s Ally I,Evoca Alleato Naturale I,noun,Spell (Evocazione),Spells
Summon Nature’s Ally II,Evoca Alleato Naturale II,noun,Spell (Evocazione),Spells
Summon Nature’s Ally III,Evoca Alleato Naturale III,noun,Spell (Evocazione),Spells
Summon Nature’s Ally IV,Evoca Alleato Naturale IV,noun,Spell (Evocazione),Spells
Summon Nature’s Ally IX,Evoca Alleato Naturale IX,noun,Spell (Evocazione),Spells
Summon Nature’s Ally V,Evoca Alleato Naturale V,noun,Spell (Evocazione),Spells
Summon Nature’s Ally VI,Evoca Alleato Naturale VI,noun,Spell (Evocazione),Spells
Summon Nature’s Ally VII,Evoca Alleato Naturale VII,noun,Spell (Evocazione),Spells
Summon Nature’s Ally VIII,Evoca Alleato Naturale VIII,noun,Spell (Evocazione),Spells
Summon Swarm,Evoca Sciame,noun,Spell (Invocazione Minima),Spells
Summon Undead I,Evoca Non Morti I,noun,Spell (Evocazione),Spells
Summon Undead II,Evoca Non Morti II,noun,Spell (Evocazione),Spells
Summon Undead III,Evoca Non Morti III,noun,Spell (Evocazione),Spells
Summon Undead IV,Evoca Non Morti IV,noun,Spell (Evocazione),Spells
Summon Undead V,Evoca Non Morti V,noun,Spell (Evocazione),Spells
Summoning Wind,Vento di Adunata,noun,Spell (Trasmutazione),Spells
Sunbeam,Bagliore Solare,noun,Spell (Invocazione),Spells
Sunburst,Esplosione Solare,noun,Spell (Invocazione),Spells
Sunmantle,Manto Solare,noun,Spell (Abiurazione),Spells
Superior Invisibility,Invisibilità Suprema,noun,Spell (Illusione),Spells
Suppress Breath Weapon,Sopprimere Arma a Soffio,noun,Spell (Ammaliamento),Spells
Sustain,Sostentare,noun,Spell (Trasmutazione),Spells
Sword of Conscience,Spada della Coscienza,noun,Spell (Ammaliamento),Spells
Sword of Darkness,Spada dell'Oscurità,noun,Spell (Necromanzia),Spells
Sword of Deception,Spada dell'Inganno,noun,Spell (Invocazione),Spells
Symbol of Death,Simbolo di Morte,noun,Spell (Necromanzia),Spells
Symbol of Fear,Simbolo di Paura,noun,Spell (Necromanzia),Spells
Symbol of Insanity,Simbolo di Demenza,noun,Spell (Ammaliamento),Spells
Symbol of Pain,Simbolo di Dolore,noun,Spell (Necromanzia),Spells
Symbol of Persuasion,Simbolo di Persuasione,noun,Spell (Ammaliamento),Spells
Symbol of Sleep,Simbolo di Sonno,noun,Spell (Ammaliamento),Spells
Symbol of Stunning,Simbolo di Stordimento,noun,Spell (Ammaliamento),Spells
Symbol of Weakness,Simbolo di Debolezza,noun,Spell (Necromanzia),Spells
Sympathetic Vibration,Vibrazione Armonica,noun,Spell (Invocazione),Spells
Sympathy,Simpatia,noun,Spell (Ammaliamento),Spells
Tactical Precision,Precisione Tattica,noun,Spell (Divinazione),Spells
Telekinesis,Telecinesi,noun,Spell (Trasmutazione),Spells
Telekinetic Sphere,Sfera Telecinetica di Otiluke,noun,Spell (Invocazione),Spells
Telepathic Bond,Legame Telepatico di Rary,noun,Spell (Divinazione),Spells
"Telepathic Bond, Lesser",Legame Telepatico Inferiore,noun,Spell (Divinazione),Spells
Telepathy Block,Blocco Telepatico,noun,Spell (Abiurazione),Spells
Telepathy Tap,Spia Telepatica,noun,Spell (Divinazione),Spells
Teleport,Teletrasporto,noun,Spell (Trasmutazione),Spells
Teleport Object,Teletrasporto degli Oggetti,noun,Spell (Trasmutazione),Spells
"Teleport, Greater",Teletrasporto Superiore,noun,Spell (Trasmutazione),Spells
Teleportation Circle,Cerchio di Teletrasporto,noun,Spell (Evocazione),Spells
Temporal Stasis,Stasi Temporale,noun,Spell (Trasmutazione),Spells
Terra Cotta Lion,Leone di Terracotta,noun,Spell (Trasmutazione),Spells
Terra Cotta Warrior,Guerriero di Terracotta,noun,Spell (Trasmutazione),Spells
Thornskin,Pelle di Spine,noun,Spell (Trasmutazione),Spells
Tidal Surge,Marea Impetuosa,noun,Spell (Invocazione),Spells
Time Stop,Fermare il Tempo,noun,Spell (Trasmutazione),Spells
Tiny Hut,Capanna di Leomund,noun,Spell (Invocazione),Spells
Tomb of Light,Tomba di Luce,noun,Spell (Trasmutazione),Spells
Tongues,Linguaggi,noun,Spell (Divinazione),Spells
Tortoise Shell,Guscio di Tartaruga,noun,Spell (Trasmutazione),Spells
Touch of Adamantine,Tocco Adamantino,noun,Spell (Trasmutazione),Spells
Touch of Fatigue,Tocco di Affaticamento,noun,Spell (Necromanzia),Spells
Touch of Idiocy,Tocco di Idiozia,noun,Spell (Ammaliamento),Spells
Touch of Madness,Tocco di Follia,noun,Spell (Ammaliamento),Spells
Touchstone Lightning,Fulmine della Piattaforma,noun,Spell (Trasmutazione),Spells
Train Animal,Addestrare Animali,noun,Spell (Ammaliamento),Spells
Transfix,Immobilizzare,noun,Spell (Ammaliamento),Spells
Transformation,Trasformazione di Tenser,noun,Spell (Trasmutazione),Spells
Transmute Metal to Wood,Trasmutare Metallo in Legno,noun,Spell (Trasmutazione),Spells
Transmute Mud to Rock,Trasmutare Fango in Roccia,noun,Spell (Trasmutazione),Spells
Transmute Rock to Lava,Tramutare Roccia in Lava,noun,Spell (Trasmutazione),Spells
Transmute Rock to Mud,Trasmutare Roccia in Fango,noun,Spell (Trasmutazione),Spells
Transport via Plants,Trasporto tramite Piante,noun,Spell (Evocazione),Spells
Trap the Soul,Intrappolare l'Anima,noun,Spell (Evocazione),Spells
Traveler's Mount,Destriero del Cavaliere,noun,Spell (Trasmutazione),Spells
Tree Shape,Forma Arborea,noun,Spell (Trasmutazione),Spells
Tree Stride,Traslazione Arborea,noun,Spell (Trasmutazione),Spells
True Creation,Creazione Vera,noun,Spell (Evocazione),Spells
True Domination,Dominazione Vera,noun,Spell (Ammaliamento),Spells
True Resurrection,Resurrezione Pura,noun,Spell (Evocazione),Spells
True Seeing,Visione del Vero,noun,Spell (Divinazione),Spells
True Strike,Colpo Accurato,noun,Spell (Divinazione),Spells
Twilight Luck,Fortuna del Crepuscolo,noun,Spell (Abiurazione),Spells
Unbinding,Slegare,noun,Spell (Abiurazione),Spells
Undead Bane Weapon,Arma Anatema dei Non Morti,noun,Spell (Trasmutazione),Spells
Undeath to Death,Non Morto a Morto,noun,Spell (Necromanzia),Spells
Undetectable Alignment,Allineamento Imperscrutabile,noun,Spell (Abiurazione),Spells
Undulant Innards,Interiora Ondulanti,noun,Spell (Trasmutazione),Spells
Unearthly Beauty,Bellezza Ultraterrena,noun,Spell (Trasmutazione),Spells
Unhallow,Profanare,noun,Spell (Invocazione),Spells
Unholy Aura,Aura Sacrilega,noun,Spell (Abiurazione),Spells
Unholy Blight,Influenza Sacrilega,noun,Spell (Invocazione),Spells
Unholy Storm,Tempesta Sacrilega,noun,Spell (Evocazione),Spells
Unluck,Sfortuna,noun,Spell (Divinazione),Spells
Unseen Servant,Servitore Inosservato,noun,Spell (Evocazione),Spells
"Unseen Servant, Mass",Servitore Inosservato di Massa,noun,Spell (Invocazione),Spells
Unyielding Roots,Radici Inflessibili,noun,Spell (Trasmutazione),Spells
Urban Shield,Scudo Urbano,noun,Spell (Abiurazione),Spells
Utterdark,Buio Completo,noun,Spell (Evocazione),Spells
Valiant Fury,Collera Valorosa,noun,Spell (Trasmutazione),Spells
Valiant Steed,Destriero Valoroso,noun,Spell (Evocazione),Spells
Vampiric Touch,Tocco del Vampiro,noun,Spell (Necromanzia),Spells
Vanishing Weapon,Arma Svanente,noun,Spell (Abiurazione),Spells
Veil,Velo,noun,Spell (Illusione),Spells
Veil of Undeath,Velo della Non Morte,noun,Spell (Necromanzia),Spells
Vengeance Halo,Aureola di Vendetta,noun,Spell (Abiurazione),Spells
Ventriloquism,Ventriloquio,noun,Spell (Illusione),Spells
Vigor,Vigore,noun,Spell (Evocazione),Spells
"Vigor, Greater",Vigore Superiore,noun,Spell (Evocazione),Spells
"Vigor, Lesser",Vigore Inferiore,noun,Spell (Evocazione),Spells
"Vigor, Mass Lesser",Vigore Inferiore di Massa,noun,Spell (Evocazione),Spells
Vigorous Circle,Cerchio Vigoroso,noun,Spell (Evocazione),Spells
Vile Death,Morte Infame,noun,Spell (Evocazione),Spells
Vine Strike,Colpire Vegetali,noun,Spell (Divinazione),Spells
Virtue,Virtù,noun,Spell (Trasmutazione),Spells
Visage of the Deity,Volto della Divinità,noun,Spell (Trasmutazione),Spells
"Visage of the Deity, Greater",Volto della Divinità Superiore,noun,Spell (Trasmutazione),Spells
"Visage of the Deity, Lesser",Volto della Divinità Inferiore,noun,Spell (Trasmutazione),Spells
Vision,Visione,noun,Spell (Divinazione),Spells
Vision of Entropy,Visione dell'Entropia,noun,Spell (Illusione),Spells
Vision of Heaven,Visione del Paradiso,noun,Spell (Ammaliamento),Spells
Vitriolic Sphere,Sfera al Vetriolo,noun,Spell (Evocazione),Spells
Voice of the Dragon,Voce del Drago,noun,Spell (Trasmutazione),Spells
Vulnerability,Vulnerabilità,noun,Spell (Trasmutazione),Spells
Wages of Sin,Riflessi del Peccato,noun,Spell (Ammaliamento),Spells
Wail of Doom,Lamento del Fato,noun,Spell (Necromanzia),Spells
Wail of the Banshee,Lamento della Banshee,noun,Spell (Necromanzia),Spells
Walk the Mountain's Path,Camminare sul Crinale dei Monti,noun,Spell (Trasmutazione),Spells
Wall of Bones,Muro di Ossa,noun,Spell (Evocazione),Spells
Wall of Fire,Muro di Fuoco,noun,Spell (Invocazione),Spells
Wall of Force,Muro di Forza,noun,Spell (Invocazione),Spells
Wall of Gears,Muro di Ingranaggi,noun,Spell (Evocazione),Spells
Wall of Gloom,Muro di Mestizia,noun,Spell (Invocazione Inferiore),Spells
Wall of Ice,Muro di Ghiaccio,noun,Spell (Invocazione),Spells
Wall of Iron,Muro di Ferro,noun,Spell (Evocazione),Spells
Wall of Stone,Muro di Pietra,noun,Spell (Evocazione),Spells
Wall of Thorns,Muro di Spine,noun,Spell (Evocazione),Spells
Warcry,Urlo di Guerra,noun,Spell (Ammaliamento),Spells
Warding Gems,Gemme dell'Interdizione,noun,Spell (Evocazione),Spells
Warp Destiny,Deformare Destino,noun,Spell (Trasmutazione),Spells
Warp Wood,Deformare Legno,noun,Spell (Trasmutazione),Spells
Water Breathing,Respirare Sott'Acqua,noun,Spell (Trasmutazione),Spells
Water to Poison,Acqua in Veleno,noun,Spell (Trasmutazione),Spells
Water Walk,Camminare sull'Acqua,noun,Spell (Trasmutazione),Spells
Waterspout,Soffio d'Acqua,noun,Spell (Evocazione),Spells
Wave of Grief,Onda di Afflizione,noun,Spell (Ammaliamento),Spells
Waves of Exhaustion,Onde di Esaurimento,noun,Spell (Necromanzia),Spells
Waves of Fatigue,Onde di Affaticamento,noun,Spell (Necromanzia),Spells
Weapon of the Deity,Arma della Divinità,noun,Spell (Trasmutazione),Spells
Weather Eye,Occhio del Tempo Atmosferico,noun,Spell (Divinazione),Spells
Web,Ragnatela,noun,Spell (Evocazione),Spells
Weird,Fatale,noun,Spell (Illusione),Spells
Whirling Blade,Lama Rotante,noun,Spell (Trasmutazione),Spells
Whirlwind,Turbine,noun,Spell (Invocazione),Spells
"Whirlwind, Greater",Turbine Superiore,noun,Spell (Invocazione),Spells
Whispercast,Lancio Sussurrato,noun,Spell (Trasmutazione),Spells
Whispering Wind,Vento Sussurrante,noun,Spell (Trasmutazione),Spells
Wind Walk,Camminare nel Vento,noun,Spell (Trasmutazione),Spells
Wind Wall,Muro di Vento,noun,Spell (Invocazione),Spells
Winding Alleys,Vincoli Tortuosi,noun,Spell (Illusione),Spells
Wingbind,Ali Legate,noun,Spell (Invocazione),Spells
Winged Mount,Cavalcatura Alata,noun,Spell (Trasmutazione),Spells
Wings of Air,Ali dell'Aria,noun,Spell (Trasmutazione),Spells
"Wings of Air, Greater",Ali dell'Aria Superiore,noun,Spell (Trasmutazione),Spells
Wish,Desiderio,noun,Spell (Universale),Spells
Wither Limb,Arto Avvizzito,noun,Spell (Necromanzia),Spells
